ano_alvo,ano_caged,mes_corte,admissoes_fem_jan_corte,desligamentos_fem_jan_corte,saldo_fem_jan_corte,estoque_formal_total_inicio,cag_fem_taxa,cag_fem_z,media_treino,desvio_treino,cenario_corte
2021,2020,8,134286,188688,-54402,1858047.0,-0.029279130183466832,-1.6889907810526006,0.003461934201758424,0.019384987030432815,jan-08
2022,2021,8,195790,170457,25333,1750261.0,0.01447384132995022,0.5680636830400773,0.003461934201758424,0.019384987030432815,jan-08
2023,2022,8,243671,206190,37481,1837234.0,0.020400776384499743,0.8738124073102936,0.003461934201758424,0.019384987030432815,jan-08
2024,2023,8,227783,211796,15987,1937290.0,0.008252249276050566,0.24711469070222983,0.003461934201758424,0.019384987030432815,jan-08
2025,2024,8,253330,228372,24958,2007743.0,0.012430873871805305,0.4626745251862378,0.003461934201758424,0.019384987030432815,jan-08
2021,2020,9,152535,206706,-54171,1858047.0,-0.02915480609478662,-1.6883275078476707,0.0050837232055150686,0.0202795542577814,jan-09
2022,2021,9,224425,192851,31574,1750261.0,0.01803959523751029,0.6388637475611166,0.0050837232055150686,0.0202795542577814,jan-09
2023,2022,9,275465,235069,40396,1837234.0,0.02198740062507008,0.8335329862128976,0.0050837232055150686,0.0202795542577814,jan-09
2024,2023,9,255093,236761,18332,1937290.0,0.009462703054266526,0.21593077407365668,0.0050837232055150686,0.0202795542577814,jan-09
2025,2024,9,287457,257320,30137,2007743.0,0.015010387285623707,0.4894912360462613,0.0050837232055150686,0.0202795542577814,jan-09
